Loaded 582 players for 2026-27 using 2025-26 statistics

========================================================================
STAGE-AWARE EARLY j TRAINING — v34
========================================================================
22 / 600 states already checkpointed | deep=212941 | pricing bank=300
per-run compute budget: 6.00 hours
Rayon worker threads: 8
deep j rollouts: parallel for searches >= 256 vectors
  [181/600] roster=0 drafted=4 H= 76.59% |  98.7s | checkpointed
  [182/600] roster=1 drafted=14 H= 60.73% | 123.9s | checkpointed
  [183/600] roster=2 drafted=27 H= 51.46% | 126.0s | checkpointed
  [184/600] roster=3 drafted=40 H= 49.45% | 115.2s | checkpointed
  [185/600] roster=4 drafted=49 H= 47.72% | 100.6s | checkpointed
  [186/600] roster=0 drafted=4 H= 63.66% | 102.7s | checkpointed
  [187/600] roster=1 drafted=14 H= 62.00% | 123.6s | checkpointed
  [188/600] roster=2 drafted=27 H= 58.12% | 126.2s | checkpointed
  [189/600] roster=3 drafted=40 H= 52.99% | 117.3s | checkpointed
  [190/600] roster=4 drafted=49 H= 51.12% | 104.5s | checkpointed
  [191/600] roster=0 drafted=4 H= 74.05% |  89.2s | checkpointed
  [192/600] roster=1 drafted=14 H= 59.79% | 123.6s | checkpointed
  [193/600] roster=2 drafted=27 H= 50.27% | 126.1s | checkpointed
  [194/600] roster=3 drafted=40 H= 51.44% | 110.2s | checkpointed
  [195/600] roster=4 drafted=49 H= 53.59% | 110.4s | checkpointed
  [196/600] roster=0 drafted=4 H= 72.03% | 106.0s | checkpointed
  [197/600] roster=1 drafted=14 H= 56.11% | 170.8s | checkpointed
training budget reached; finalizing from completed checkpoints

SUMMARY
checkpointed states : 197
early bank size     : 840
saved               : data/stats/2026-27/durant/strategy_bank_stage_early.json
census              : data/stats/2026-27/durant/strategy_stage_early_census.csv
checkpoint          : data/stats/2026-27/durant/strategy_stage_early_training_checkpoint.json
elapsed this run    : 6.05 hours

Restart BirdBoard after training so the new EARLY bank is loaded.
